Tempo decorrido,E[N],E[W],Lambda,Erro Little
10.00,1.2351194007,0.8234129338,1.5000000000,-0.00000000000000044409
20.00,2.8356171376,1.4178085688,2.0000000000,-0.00000000000000088818
30.00,3.0571354492,1.3896070224,2.2000000000,0.00000000000000266454
40.00,5.0249586631,2.2584083879,2.2250000000,0.00000000000001332268
50.00,4.4155379714,1.8709906658,2.3600000000,0.00000000000000621725
60.00,5.0763800374,2.2395794283,2.2666666667,0.00000000000001865175
70.00,5.1792605924,2.2379521078,2.3142857143,0.00000000000006128431
80.00,6.1482668683,2.6302745961,2.3375000000,0.00000000000007194245
90.00,7.3666085384,3.1722237725,2.3222222222,0.00000000000007460699
100.00,8.3183405385,3.6483949730,2.2800000000,0.00000000000005684342
110.00,8.6508407620,3.8063699353,2.2727272727,0.00000000000008881784
120.00,9.0816195297,4.0213813416,2.2583333333,0.00000000000000177636
130.00,9.9541611615,4.2849038113,2.3230769231,-0.00000000000004263256
140.00,10.6380281404,4.6396384413,2.2928571429,-0.00000000000000177636
150.00,10.8025561526,4.7798921029,2.2600000000,-0.00000000000003197442
160.00,11.0379294746,4.8921571079,2.2562500000,-0.00000000000001776357
170.00,10.5470640657,4.8069728986,2.1941176471,0.00000000000000177636
180.00,10.0660286241,4.6940029853,2.1444444444,-0.00000000000000355271
190.00,9.6539359635,4.5514834567,2.1210526316,-0.00000000000002131628
200.00,9.2456429791,4.3922294437,2.1050000000,-0.00000000000004085621
210.00,8.9965206593,4.1705724911,2.1571428571,-0.00000000000011013412
220.00,9.0094612680,4.1904471014,2.1500000000,-0.00000000000009414691
230.00,8.9483950051,4.1662567837,2.1478260870,-0.00000000000013145041
240.00,9.1968566198,4.1724869353,2.2041666667,-0.00000000000022204460
250.00,9.4095646364,4.2309193509,2.2240000000,-0.00000000000021316282
260.00,9.4236545197,4.3288872352,2.1769230769,-0.00000000000012079227
270.00,9.1989743436,4.1884031581,2.1962962963,-0.00000000000000710543
280.00,8.9311404399,4.1130252026,2.1714285714,-0.00000000000020961011
290.00,8.6601605869,4.0054969222,2.1620689655,-0.00000000000012967405
300.00,8.4749384446,3.9540925869,2.1433333333,-0.00000000000020783375
310.00,8.2330113927,3.8553376612,2.1354838710,-0.00000000000028599345
320.00,8.0703604910,3.8146460223,2.1156250000,-0.00000000000036060044
330.00,7.8963266135,3.7439479633,2.1090909091,-0.00000000000042543746
340.00,7.7104687064,3.6309686429,2.1235294118,-0.00000000000031352698
350.00,7.5480429034,3.5700202922,2.1142857143,-0.00000000000022293278
360.00,7.4998102020,3.5247149775,2.1277777778,-0.00000000000044941828
370.00,7.4942195764,3.5549503119,2.1081081081,-0.00000000000054090066
380.00,7.3674932945,3.4908322343,2.1105263158,-0.00000000000036681769
390.00,7.2508241252,3.4193729248,2.1205128205,-0.00000000000042810200
400.00,7.1639862405,3.3752585350,2.1225000000,-0.00000000000019984014
410.00,7.3359586118,3.4651417406,2.1170731707,-0.00000000000013056223
420.00,7.5831531339,3.5625551636,2.1285714286,-0.00000000000007815970
430.00,7.6997751684,3.6423578904,2.1139534884,-0.00000000000012523316
440.00,7.7012706065,3.6712449262,2.0977272727,-0.00000000000021316282
450.00,7.6639405927,3.6650087851,2.0911111111,-0.00000000000018829382
460.00,7.5868230826,3.6090368335,2.1021739130,-0.00000000000015099033
470.00,7.4946095733,3.5906896019,2.0872340426,-0.00000000000027799985
480.00,7.3789704382,3.5525635008,2.0770833333,-0.00000000000035615955
490.00,7.2533381336,3.5016115127,2.0714285714,-0.00000000000026822988
500.00,7.1534472807,3.4491066927,2.0740000000,-0.00000000000045385917
