Tempo decorrido,E[N],E[W],Lambda,Erro Little
10.00,4.2734416272,1.4736005611,2.9000000000,0.00000000000000088818
20.00,7.0595594358,3.0693736677,2.3000000000,-0.00000000000000532907
30.00,7.7640277548,3.9478107228,1.9666666667,-0.00000000000000621725
40.00,6.8324708778,3.5493355209,1.9250000000,0.00000000000000088818
50.00,5.8239233645,2.7999631560,2.0800000000,0.00000000000003641532
60.00,6.5304995171,3.0611716487,2.1333333333,0.00000000000003819167
70.00,7.4785465170,3.6103328013,2.0714285714,0.00000000000001243450
80.00,8.5211358275,3.8732435580,2.2000000000,0.00000000000002664535
90.00,10.0675256126,4.5531522871,2.2111111111,0.00000000000000888178
100.00,11.6062445458,5.4489411013,2.1300000000,0.00000000000002842171
110.00,12.3765925866,5.8682120023,2.1090909091,0.00000000000001953993
120.00,11.8804889414,5.7953604592,2.0500000000,0.00000000000003552714
130.00,11.2901197910,5.3960131354,2.0923076923,-0.00000000000001598721
140.00,10.7165589629,5.1205401188,2.0928571429,-0.00000000000006394885
150.00,10.2938978408,4.9174671214,2.0933333333,0.00000000000002486900
160.00,10.3101999231,4.9687710473,2.0750000000,0.00000000000004973799
170.00,10.1710716625,4.9121652916,2.0705882353,0.00000000000002664535
180.00,9.7384769232,4.7633854516,2.0444444444,0.00000000000006039613
190.00,9.4840008517,4.6562278083,2.0368421053,0.00000000000009237056
200.00,9.2364774975,4.5388095811,2.0350000000,0.00000000000009059420
210.00,8.8985320822,4.4281794722,2.0095238095,0.00000000000005506706
220.00,8.6027703066,4.2435189853,2.0272727273,0.00000000000007815970
230.00,8.8266322511,4.3847201247,2.0130434783,0.00000000000002131628
240.00,9.1959555272,4.5788990177,2.0083333333,-0.00000000000006217249
250.00,9.5006091704,4.7126037552,2.0160000000,0.00000000000000355271
260.00,9.8463283857,4.9043014948,2.0076923077,0.00000000000003375078
270.00,10.2015249264,5.0632568568,2.0148148148,-0.00000000000006217249
280.00,10.6269611991,5.3134805995,2.0000000000,-0.00000000000013322676
290.00,11.1491622081,5.5363990417,2.0137931034,-0.00000000000003552714
300.00,11.5406520375,5.7511555004,2.0066666667,-0.00000000000009059420
310.00,11.9245831922,5.8863388369,2.0258064516,-0.00000000000009237056
320.00,12.3676212370,6.1263758450,2.0187500000,-0.00000000000000710543
330.00,12.5977121852,6.2141181182,2.0272727273,0.00000000000000532907
340.00,12.9966294013,6.3764126933,2.0382352941,0.00000000000003552714
