Tempo decorrido,E[N],E[W],Lambda,Erro Little
780.00,3.3854873479,1.6766223056,2.0192307692,-0.00000000000096900266
790.00,3.5016400498,1.7256990888,2.0291139241,-0.00000000000145661261
800.00,3.6586208305,1.8000594492,2.0325000000,-0.00000000000103295150
810.00,3.7597892662,1.8479546757,2.0345679012,-0.00000000000111066711
820.00,3.7775334492,1.8604068638,2.0304878049,-0.00000000000095301544
830.00,3.7986227935,1.8633906139,2.0385542169,-0.00000000000101385567
840.00,3.8305234691,1.8827616817,2.0345238095,-0.00000000000123367982
850.00,3.8232774287,1.8839338055,2.0294117647,-0.00000000000119282362
860.00,3.7845211734,1.8726629511,2.0209302326,-0.00000000000122923893
870.00,3.7559582280,1.8608676870,2.0183908046,-0.00000000000133715261
880.00,3.7355720937,1.8520019394,2.0170454545,-0.00000000000142019729
890.00,3.7038629947,1.8457100030,2.0067415730,-0.00000000000161959335
900.00,3.6720421686,1.8278970972,2.0088888889,-0.00000000000143485224
910.00,3.6798831864,1.8258962375,2.0153846154,-0.00000000000144506629
920.00,3.7417990872,1.8507823442,2.0217391304,-0.00000000000097877262
930.00,3.9430306479,1.9422767492,2.0301075269,-0.00000000000140421008
940.00,4.1739268693,2.0413586145,2.0446808511,-0.00000000000161470837
950.00,4.4740804973,2.1943089687,2.0389473684,-0.00000000000162359015
960.00,4.7185980671,2.3111500737,2.0416666667,-0.00000000000156852309
970.00,4.9370052160,2.4186338685,2.0412371134,-0.00000000000193178806
980.00,5.0512205432,2.4763362343,2.0397959184,-0.00000000000180477855
990.00,5.1788877071,2.5331515959,2.0444444444,-0.00000000000162181379
1000.00,5.3241566639,2.6047733189,2.0440000000,-0.00000000000149746882
1010.00,5.4317426718,2.6670199798,2.0366336634,-0.00000000000152944324
1020.00,5.4546059124,2.6684403025,2.0441176471,-0.00000000000142641454
1030.00,5.4446106831,2.6691808680,2.0398058252,-0.00000000000119548815
1040.00,5.4582998730,2.6650853840,2.0480769231,-0.00000000000141753276
1050.00,5.5076571601,2.6847910948,2.0514285714,-0.00000000000137667655
1060.00,5.5094949230,2.6937567428,2.0452830189,-0.00000000000057642779
1070.00,5.4682474497,2.6741429485,2.0448598131,-0.00000000000098943076
1080.00,5.4443872287,2.6642221146,2.0435185185,-0.00000000000055866423
1090.00,5.4259878634,2.6486013306,2.0486238532,-0.00000000000130473410
1100.00,5.3875468776,2.6280716476,2.0500000000,-0.00000000000069277917
1110.00,5.3462935792,2.6096683698,2.0486486486,-0.00000000000077360340
1120.00,5.3101605552,2.5971090925,2.0446428571,-0.00000000000064659389
1130.00,5.2701223877,2.5869844909,2.0371681416,-0.00000000000025313085
1140.00,5.2362106511,2.5796370537,2.0298245614,-0.00000000000029132252
1150.00,5.1994459922,2.5651492454,2.0269565217,-0.00000000000097966080
1160.00,5.1705151038,2.5544282455,2.0241379310,-0.00000000000132338585
1170.00,5.1353683940,2.5448458369,2.0179487179,-0.00000000000139888101
1180.00,5.1399639021,2.5441096495,2.0203389831,-0.00000000000178346227
1190.00,5.1454463844,2.5406975923,2.0252100840,-0.00000000000134914302
1200.00,5.1317912867,2.5300532227,2.0283333333,-0.00000000000136157752
1210.00,5.1354673812,2.5331901880,2.0272727273,-0.00000000000215383267
1220.00,5.1256457427,2.5245408987,2.0303278689,-0.00000000000267075251
1230.00,5.1337813830,2.5258204404,2.0325203252,-0.00000000000187316829
1240.00,5.1516510557,2.5329291471,2.0338709677,-0.00000000000189892546
1250.00,5.1813823117,2.5478866599,2.0336000000,-0.00000000000141398004
1260.00,5.2417085126,2.5718663263,2.0380952381,-0.00000000000123634436
1270.00,5.2550985141,2.5758298390,2.0401574803,-0.00000000000145394807
1280.00,5.2442135502,2.5689220606,2.0414062500,-0.00000000000114841470
1290.00,5.2238438759,2.5632402434,2.0379844961,-0.00000000000103650422
1300.00,5.2342870932,2.5609985778,2.0438461538,-0.00000000000129585231
1310.00,5.2542591423,2.5788982677,2.0374045802,-0.00000000000113598020
1320.00,5.2520443511,2.5800887769,2.0356060606,-0.00000000000112709841
1330.00,5.2480875701,2.5737302612,2.0390977444,-0.00000000000109423581
1340.00,5.2640260043,2.5847544323,2.0365671642,-0.00000000000034106051
1350.00,5.2380497380,2.5732777097,2.0355555556,-0.00000000000012967405
1360.00,5.2276297779,2.5657078664,2.0375000000,-0.00000000000033040237
1370.00,5.2664194186,2.5832418917,2.0386861314,-0.00000000000088196117
1380.00,5.2700813349,2.5881538228,2.0362318841,-0.00000000000057731597
1390.00,5.2384300001,2.5765809272,2.0330935252,-0.00000000000088196117
1400.00,5.2054531439,2.5633606759,2.0307142857,-0.00000000000113509202
1410.00,5.1777827755,2.5553635679,2.0262411348,-0.00000000000133049127
1420.00,5.1578820438,2.5422396745,2.0288732394,-0.00000000000149391610
1430.00,5.1328610339,2.5258056705,2.0321678322,-0.00000000000173638881
1440.00,5.1190573606,2.5210132009,2.0305555556,-0.00000000000178346227
1450.00,5.0948143533,2.5076309614,2.0317241379,-0.00000000000091660013
1460.00,5.0747394483,2.5005466063,2.0294520548,-0.00000000000042454928
1470.00,5.0511682911,2.4891778035,2.0292517007,-0.00000000000032951419
1480.00,5.0239862906,2.4801533389,2.0256756757,-0.00000000000057198690
1490.00,4.9951884969,2.4686006170,2.0234899329,-0.00000000000063682393
1500.00,4.9695977379,2.4585740788,2.0213333333,-0.00000000000066524564
1510.00,4.9490482141,2.4517922583,2.0185430464,-0.00000000000073807627
1520.00,4.9290520217,2.4404426948,2.0197368421,-0.00000000000159872116
1530.00,4.9318405100,2.4411892528,2.0202614379,-0.00000000000190070182
1540.00,4.9336046741,2.4430068161,2.0194805195,-0.00000000000160138569
1550.00,4.9154294025,2.4372730563,2.0167741935,-0.00000000000153477231
1560.00,4.9033092223,2.4306203962,2.0173076923,-0.00000000000095923269
1570.00,4.8759515033,2.4233123964,2.0121019108,-0.00000000000090949470
1580.00,4.8593217939,2.4166598786,2.0107594937,-0.00000000000088196117
1590.00,4.8450628614,2.4043851278,2.0150943396,-0.00000000000082245322
1600.00,4.8202549392,2.4003759423,2.0081250000,-0.00000000000034017233
1610.00,4.7952358489,2.3953861982,2.0018633540,-0.00000000000012345680
1620.00,4.7724530730,2.3877004257,1.9987654321,-0.00000000000046540549
1630.00,4.7496175822,2.3762666234,1.9987730061,-0.00000000000086242125
1640.00,4.7265401516,2.3668781217,1.9969512195,-0.00000000000044053650
1650.00,4.7060754217,2.3594726362,1.9945454545,0.00000000000018651747
1660.00,4.6886968841,2.3521416826,1.9933734940,0.00000000000012256862
1670.00,4.6721670126,2.3487413940,1.9892215569,0.00000000000036326497
1680.00,4.6579911681,2.3401391036,1.9904761905,-0.00000000000001776357
1690.00,4.6469658349,2.3331468393,1.9917159763,0.00000000000001865175
1700.00,4.6236589948,2.3261971859,1.9876470588,0.00000000000050803806
1710.00,4.5999348415,2.3210057772,1.9818713450,0.00000000000076560980
1720.00,4.5836512890,2.3126665348,1.9819767442,0.00000000000065991657
1730.00,4.5862314265,2.3111507043,1.9843930636,0.00000000000097877262
1740.00,4.5983904980,2.3158319729,1.9856321839,0.00000000000159694480
1750.00,4.5812694547,2.3117709186,1.9817142857,0.00000000000107291953
1760.00,4.5728765480,2.3054318890,1.9835227273,0.00000000000129940503
1770.00,4.6097177375,2.3205916938,1.9864406780,0.00000000000114486198
1780.00,4.6390796040,2.3372662596,1.9848314607,0.00000000000062616579
1790.00,4.6666056746,2.3497114367,1.9860335196,0.00000000000080824236
1800.00,4.6745919311,2.3503534849,1.9888888889,0.00000000000098321351
1810.00,4.6741608051,2.3520242027,1.9872928177,0.00000000000126476607
1820.00,4.6719943502,2.3547576066,1.9840659341,0.00000000000121236354
1830.00,4.6863756550,2.3560624859,1.9890710383,0.00000000000218935980
1840.00,4.6922986710,2.3583254725,1.9896739130,0.00000000000157474034
1850.00,4.6920794417,2.3575086820,1.9902702703,0.00000000000077893247
1860.00,4.6787668720,2.3501232466,1.9908602151,0.00000000000091837649
1870.00,4.6638692942,2.3425827505,1.9909090909,0.00000000000166267000
1880.00,4.6449898508,2.3268267838,1.9962765957,0.00000000000132072131
1890.00,4.6293378838,2.3177347286,1.9973544974,0.00000000000113420384
1900.00,4.6096628652,2.3096939462,1.9957894737,0.00000000000131095135
1910.00,4.5984748632,2.3095153796,1.9910994764,0.00000000000135003120
1920.00,4.5968502723,2.3068354738,1.9927083333,0.00000000000172928338
1930.00,4.6018236449,2.3038961439,1.9974093264,0.00000000000257394106
